line_1,line_2,line_3,source,line1_syllables,line2_syllables,line3_syllables,haiku
This is gonna take, another year or maybe,a couple of years,twaiku,6,7,5,This is gonna take  another year or maybe a couple of years
Found picture of my, mommy laughing and looking,happy on my phone,twaiku,6,7,6,Found picture of my  mommy laughing and looking happy on my phone
Can someone explain, why when I'm the most active,I look twice as big,twaiku,6,8,6,Can someone explain  why when I'm the most active I look twice as big
Always remember, it's people with less than you,happier than you,twaiku,5,7,4,Always remember  it's people with less than you happier than you
Stream later tonight, sorry about change of time,guys something came up,twaiku,5,9,7,Stream later tonight  sorry about change of time guys something came up
once again I guess, baby jesus is trying,to tell me something,twaiku,6,6,6,once again I guess  baby jesus is trying to tell me something
I don't have any, mini dope marshmallows for,my dang hot chocolate,twaiku,6,8,7,I don't have any  mini dope marshmallows for my dang hot chocolate
iT'S LITERALLY, FROM ONE END OF SINGAPORE,TO THE OTHER END,twaiku,5,9,5,iT'S LITERALLY  FROM ONE END OF SINGAPORE TO THE OTHER END
I really want to, go to Ireland now and,visit my castle,twaiku,5,7,5,I really want to  go to Ireland now and visit my castle
you are surely not, expecting people to feel,sorry for racists,twaiku,7,7,5,you are surely not  expecting people to feel sorry for racists
Hollister clothing, has just made new Trousers with,a flower design,twaiku,5,8,5,Hollister clothing  has just made new Trousers with a flower design
Had to say goodbye, to my Calvin and Hobbes,nails Sparkly for NYE,twaiku,5,7,5,Had to say goodbye  to my Calvin and Hobbes nails Sparkly for NYE
last night these people, introduced themselves as the,barnacle twins lol,twaiku,6,9,5,last night these people  introduced themselves as the barnacle twins lol
i cant wait until, they turn they back on you like,you turned yours on me,twaiku,5,8,6,i cant wait until  they turn they back on you like you turned yours on me
The longer you take, to reply the more I don't,want to talk to you,twaiku,6,8,5,The longer you take  to reply the more I don't want to talk to you
but when the sweet moon comes,showering her silver down,they droop where they have blown,img2poems,7,7,8,but when the sweet moon comes showering her silver down they droop where they have blown
ah,there be some hearts i wis,to which nothing comes amiss,img2poems,1,8,8,ah there be some hearts i wis to which nothing comes amiss
gray summer sky,seed-beads sparkle,on a blue silk thread,sballas,4,4,5,gray summer sky seed-beads sparkle on a blue silk thread
Good morning to the, Faithful woman that handle,they business only,twaiku,5,7,6,Good morning to the  Faithful woman that handle they business only
Motivation is, at an all time low in the,north building today,twaiku,5,8,5,Motivation is  at an all time low in the north building today
I have so many, ideas So ready to,start baking again,twaiku,6,6,5,I have so many  ideas So ready to start baking again
SORRY FOR CALLING, JIN MOM ONCE OR MAYBE TWICE,I JUST CANT HELP IT,twaiku,5,9,5,SORRY FOR CALLING  JIN MOM ONCE OR MAYBE TWICE I JUST CANT HELP IT
Yep Working hard for, America is surely,a crime Idiot,twaiku,5,8,5,Yep Working hard for  America is surely a crime Idiot
The only thing I, come close to predicting is,the winning margin,twaiku,5,9,5,The only thing I  come close to predicting is the winning margin
if you mock us pan,in whom we also believe do it,as gently as you can,img2poems,5,10,6,if you mock us pan in whom we also believe do it as gently as you can
coaxing,one more day,from the raspberries,modern_haikus,3,5,5,coaxing one more day from the raspberries
geese honking,children in the,bathtub playing,haikuzao,4,4,3,geese honking children in the bathtub playing
my emotions are, so bad i can switch up on,you in an instant,twaiku,6,7,5,my emotions are  so bad i can switch up on you in an instant
can someone upload, more of cy pcs i need,it for reference,twaiku,6,6,6,can someone upload  more of cy pcs i need it for reference
I'm lucky if I, get up early enough to,make my morning tea,twaiku,5,7,6,I'm lucky if I  get up early enough to make my morning tea
i'm about to be, disowned by everyone stay,tuned for more updates,twaiku,5,9,8,i'm about to be  disowned by everyone stay tuned for more updates
The person about, me masturbates to Ellen,Show Give them a hug,twaiku,5,8,6,The person about  me masturbates to Ellen Show Give them a hug
spring tide...,stars circle,a beached hull,herons_nest,3,3,4,spring tide... stars circle a beached hull
Bitches be like Oh, I need some head and my bitch,come run and give it,twaiku,6,8,7,Bitches be like Oh  I need some head and my bitch come run and give it
doughty dang that sucks, for you need to throw the whole,family away,twaiku,5,8,5,doughty dang that sucks  for you need to throw the whole family away
So much easier, not to miss the point if you,read past the headline,twaiku,4,7,6,So much easier  not to miss the point if you read past the headline
Happy Principals, Day to the best principal,I know You're awesome,twaiku,5,7,8,Happy Principals  Day to the best principal I know You're awesome
the snow melted,fences reappear,between neighbors,sballas,4,4,4,the snow melted fences reappear between neighbors
knowing that you'll be, in my life forever makes,me more than happy,twaiku,5,9,6,knowing that you'll be  in my life forever makes me more than happy
Good luck to Second, Year students on their English,exam tomorrow,twaiku,5,7,5,Good luck to Second  Year students on their English exam tomorrow
Thai restaurant---,Christmas songs,only in the kitchen,tempslibre,4,3,6,Thai restaurant--- Christmas songs only in the kitchen
silenus,how is it mixed,let me observe,img2poems,3,5,5,silenus how is it mixed let me observe
i wont be watching, talking dead as long as chris,hardwick is the host,twaiku,5,7,5,i wont be watching  talking dead as long as chris hardwick is the host
night shift,in the parking lot car lights,dim near morning,haikuzao,2,7,4,night shift in the parking lot car lights dim near morning
When black families, make goulash you'll be eating,that for a month straight,twaiku,5,8,5,When black families  make goulash you'll be eating that for a month straight
That iconic sound, of a lighter and exhale,on Hip Hop and Trap,twaiku,5,8,5,That iconic sound  of a lighter and exhale on Hip Hop and Trap
Relationships are, like journeys on what path will,this person take me,twaiku,6,8,6,Relationships are  like journeys on what path will this person take me
I thought niall was, wearing booty shorts really,disappointed now,twaiku,4,7,5,I thought niall was  wearing booty shorts really disappointed now
If only you can, you through my eyes Then you would,know how great you are,twaiku,5,7,6,If only you can  you through my eyes Then you would know how great you are
Not feeling being, a slave today Let me put,in some vacation,twaiku,4,8,6,Not feeling being  a slave today Let me put in some vacation
Yo being in love, with your best friend really lives,up to the hype wow,twaiku,5,8,6,Yo being in love  with your best friend really lives up to the hype wow
Regardless what I, have been through in my life I'm,extremely thankful,twaiku,5,9,6,Regardless what I  have been through in my life I'm extremely thankful
Working on a new, video right now Like this,if you want a hint,twaiku,5,7,5,Working on a new  video right now Like this if you want a hint
my angels why do, they have to suffer I wish,this was a nightmare,twaiku,5,8,6,my angels why do  they have to suffer I wish this was a nightmare
it's always that one, person you thought would be there,for u but guess not,twaiku,6,8,5,it's always that one  person you thought would be there for u but guess not
I hate when someone, say this Like please shut up with,your sensitive self,twaiku,7,9,6,I hate when someone  say this Like please shut up with your sensitive self
This thread What our, children and grandchildren will,lose Devastating,twaiku,4,7,6,This thread What our  children and grandchildren will lose Devastating
Studying the birth, history of Hip Hop has,been such a journey,twaiku,4,7,5,Studying the birth  history of Hip Hop has been such a journey
This reminds me of, that straight glitter shit that we,had to wear for cheer,twaiku,5,7,5,This reminds me of  that straight glitter shit that we had to wear for cheer
What a beautiful, issue make sure to check out,Hybrid Vigor by,twaiku,5,9,5,What a beautiful  issue make sure to check out Hybrid Vigor by
And conservatives, watch and enjoy those movies,just like liberals,twaiku,6,8,6,And conservatives  watch and enjoy those movies just like liberals
Do I contradict, myself Very well then I,contradict myself,twaiku,5,7,5,Do I contradict  myself Very well then I contradict myself
The more cowardly, these criminals become the,braver we become,twaiku,6,9,6,The more cowardly  these criminals become the braver we become
Cool story on and, I'm still relatively new,but I think you're wrong,twaiku,5,8,6,Cool story on and  I'm still relatively new but I think you're wrong
new fire old coals,in the old stove,new year,tempslibre,5,5,2,new fire old coals in the old stove new year
Like always been said, one day people will demand,what we lose today,twaiku,6,8,6,Like always been said  one day people will demand what we lose today
Friends who tell other, people things you privately,told them ain't ya friends,twaiku,5,8,5,Friends who tell other  people things you privately told them ain't ya friends
I didn't see no, sexy ass costumes this year,you hoes was lazy,twaiku,4,8,5,I didn't see no  sexy ass costumes this year you hoes was lazy
I aspire to be, as strong and amazing as,my mama one day,twaiku,6,7,6,I aspire to be  as strong and amazing as my mama one day
Makes me so happy, seeing the people that I,love being happy,twaiku,6,6,5,Makes me so happy  seeing the people that I love being happy
if it's gonna take, you an hour reply then,don't even bother,twaiku,6,6,5,if it's gonna take  you an hour reply then don't even bother
Don't let somebody, be your priority when,you're just their option,twaiku,6,6,6,Don't let somebody  be your priority when you're just their option
Wasn't directed, towards yo sensitive ass,but if the shoe fits,twaiku,4,8,5,Wasn't directed  towards yo sensitive ass but if the shoe fits
tangled seaweed?,two raccoons tussle,over a clam,sballas,4,5,4,tangled seaweed? two raccoons tussle over a clam
scent of lilacs,my dog waits for me,to catch up,sballas,4,5,3,scent of lilacs my dog waits for me to catch up
lifeless bumblebee??,the ground around it,darkens with raindrops,sballas,6,5,5,lifeless bumblebee?? the ground around it darkens with raindrops
Miranda extras, calling my mom to see if,I'm really going,twaiku,5,7,4,Miranda extras  calling my mom to see if I'm really going
im afraid i cant, make my parents proud of me,for my degree show,twaiku,5,8,5,im afraid i cant  make my parents proud of me for my degree show
earning Thanks man Things, finally going right for,me in crypto D,twaiku,5,6,4,earning Thanks man Things  finally going right for me in crypto D
